(0.0182257, 0.581204)
(0.0319226, 0.340618)
(0.0366256, 0.350002)
(0.0374828, 0.918238)
(0.0391463, 0.682838)
(0.0427176, 0.120853)
(0.043659, 0.492404)
(0.0485765, 0.662379)
(0.0673822, 0.274832)
(0.100114, 0.11961)
(0.105017, 0.285717)
(0.125967, 0.401906)
(0.127068, 0.392897)
(0.137072, 0.484945)
(0.161351, 0.893596)
(0.164861, 0.575048)
(0.17346, 0.899212)
(0.210024, 0.304328)
(0.230018, 0.905153)
(0.234539, 0.818599)
(0.234799, 0.511235)
(0.252912, 0.461333)
(0.255412, 0.483551)
(0.255878, 0.0341207)
(0.279849, 0.610655)
(0.292904, 0.976356)
(0.294837, 0.290204)
(0.30853, 0.787208)
(0.312854, 0.886344)
(0.314205, 0.759973)
(0.346052, 0.368545)
(0.36129, 0.130225)
(0.375349, 0.818199)
(0.391976, 0.663938)
(0.395978, 0.698102)
(0.404219, 0.153088)
(0.407173, 0.586384)
(0.428628, 0.212796)
(0.430151, 0.156562)
(0.442237, 0.295306)
(0.450575, 0.771551)
(0.454407, 0.295466)
(0.461585, 0.767688)
(0.463895, 0.30801)
(0.465289, 0.147354)
(0.468477, 0.344867)
(0.498933, 0.0715273)
(0.508101, 0.50677)
(0.519313, 0.577854)
(0.529067, 0.11112)
(0.530056, 0.372448)
(0.536708, 0.3454)
(0.539436, 0.508023)
(0.548198, 0.983005)
(0.55631, 0.328354)
(0.560065, 0.641456)
(0.562833, 0.176811)
(0.566558, 0.0911863)
(0.583469, 0.437077)
(0.593412, 0.321024)
(0.600963, 0.296677)
(0.608644, 0.381043)
(0.61538, 0.665491)
(0.635167, 0.620684)
(0.638869, 0.611463)
(0.647368, 0.617147)
(0.662784, 0.365206)
(0.683342, 0.268985)
(0.684493, 0.993067)
(0.689084, 0.874495)
(0.692165, 0.0371479)
(0.707922, 0.956469)
(0.718238, 0.453332)
(0.7406, 0.268805)
(0.748414, 0.869758)
(0.765636, 0.741007)
(0.790648, 0.672437)
(0.806525, 0.655765)
(0.809132, 0.81029)
(0.812543, 0.375285)
(0.829844, 0.773596)
(0.843569, 0.349857)
(0.873727, 0.773561)
(0.875698, 0.690337)
(0.876513, 0.967323)
(0.881124, 0.366803)
(0.886439, 0.902484)
(0.888937, 0.572536)
(0.89083, 0.681984)
(0.899655, 0.436667)
(0.912009, 0.300393)
(0.932534, 0.284878)
(0.936218, 0.989179)
(0.943723, 0.193659)
(0.945553, 0.150573)
(0.958553, 0.264519)
(0.959488, 0.346928)
(0.959505, 0.319198)
(0.980402, 0.913266)
(0.990259, 0.612797)
