(0.000132362, 0.679514)
(0.000605286, 0.390312)
(0.00135253, 0.427853)
(0.00160943, 0.813763)
(0.0019608, 0.0399325)
(0.00206959, 0.853491)
(0.00213477, 0.196175)
(0.00215377, 0.731355)
(0.00257551, 0.814579)
(0.00341293, 0.456078)
(0.00345045, 0.940605)
(0.00382557, 0.83291)
(0.0045934, 0.646497)
(0.00530214, 0.67104)
(0.00635578, 0.86266)
(0.00659739, 0.659832)
(0.00695257, 0.049983)
(0.00709892, 0.602595)
(0.00746401, 0.917282)
(0.00749038, 0.0301612)
(0.00758723, 0.349706)
(0.0079133, 0.366732)
(0.00925357, 0.401666)
(0.0119008, 0.908438)
(0.0122389, 0.878471)
(0.012562, 0.12671)
(0.0134261, 0.543724)
(0.013618, 0.89895)
(0.0138678, 0.39853)
(0.0148161, 0.30623)
(0.0153411, 0.0812708)
(0.0155449, 0.724454)
(0.0157953, 0.00738213)
(0.017106, 0.193496)
(0.0184814, 0.191597)
(0.0188169, 0.669955)
(0.0192237, 0.620788)
(0.0203226, 0.848124)
(0.0207761, 0.385488)
(0.0209246, 0.60352)
(0.021644, 0.17974)
(0.0235161, 0.588941)
(0.0250631, 0.0509878)
(0.0256014, 0.25528)
(0.0259642, 0.0284434)
(0.0260574, 0.739533)
(0.0261683, 0.422405)
(0.0263303, 0.758224)
(0.0264185, 0.137079)
(0.0265451, 0.721776)
(0.0272182, 0.286254)
(0.0275157, 0.366536)
(0.028525, 0.194655)
(0.0286605, 0.260558)
(0.0290084, 0.719557)
(0.0290972, 0.800346)
(0.0300274, 0.222066)
(0.0307791, 0.346653)
(0.0308201, 0.862468)
(0.0318304, 0.336926)
(0.0329998, 0.0443214)
(0.0335481, 0.869839)
(0.0336465, 0.690542)
(0.0343726, 0.631807)
(0.0346609, 0.836843)
(0.0353754, 0.982174)
(0.0355969, 0.814147)
(0.035624, 0.826657)
(0.0360466, 0.234131)
(0.0376062, 0.386123)
(0.0376316, 0.847167)
(0.0378154, 0.377644)
(0.0389314, 0.380148)
(0.0392484, 0.0130922)
(0.0395107, 0.306592)
(0.0395246, 0.687892)
(0.0400127, 0.909868)
(0.0400356, 0.00719734)
(0.0407331, 0.532495)
(0.0416501, 0.358921)
(0.0417079, 0.766873)
(0.0419787, 0.276594)
(0.042434, 0.397407)
(0.0433999, 0.265319)
(0.0449311, 0.338575)
(0.0454224, 0.688584)
(0.0459278, 0.131227)
